ID,TRANSACTION,BRAND,ITEM,QUANTITY,PRICE,DATE
163,T22,HONDA,BOLT ADJUSTER,,₱200.00,01/23/2023
164,T23,RUSI,HEAD LIGHT SET,,₱60.00,01/24/2023
165,T23,RUSI,BUSHING,,₱150.00,01/24/2023
166,T23,RUSI ,GUMA,,₱150.00,01/24/2023
167,T23,RUSI,MAX SPEED,,₱200.00,01/24/2023
168,T24,HONDA,HORN,,₱150.00,01/25/2023
169,T24,HONDA,TMX COVER,,₱130.00,01/25/2023
170,T24,HONDA,GUMA,,₱150.00,01/25/2023
171,T24,HONDA,MAX SPEED,,₱200.00,01/25/2023
172,T24,HONDA,BRAKE SHOE,,₱150.00,01/25/2023
173,T25,HONDA,CABLE,,₱120.00,01/25/2023
174,T25,HONDA,CHAIN,,₱320.00,01/25/2023
175,T25,HONDA,CABLE,,₱120.00,01/25/2023
176,T25,HONDA,HANDLE SWITCH,,₱35.00,01/25/2023
177,T26,HONDA,SPARKPLUG,,₱120.00,01/26/2023
178,T26,HONDA,ALLEN BOLT,,₱8.00,01/26/2023
179,T26,HONDA,TAPE,,₱25.00,01/26/2023
180,T26,HONDA,SPARKPLUG,,₱120.00,01/26/2023
181,T26,HONDA,SIDE MIRROR,,₱250.00,01/26/2023
182,T26,HONDA,MAX SPEED,,₱250.00,01/26/2023
183,T26,HONDA,TIRE,,₱800.00,01/26/2023
184,T26,HONDA,TIRE,,₱650.00,01/26/2023
185,T26,HONDA,REPAIR KIT,,₱120.00,01/26/2023
186,T27,RUSI,VALVE,,₱10.00,01/27/2023
187,T27,RUSI,GUMA,,₱130.00,01/27/2023
188,T27,RUSI,SEAT COVER JRP,,₱300.00,01/27/2023
189,T27,RUSI,ALLEN BOLT,,₱80.00,01/27/2023
190,T27,RUSI,GRASA,,₱20.00,01/27/2023
191,T27,RUSI,SIGNAL LIGHT SWITCH,,₱30.00,01/27/2023
192,T27,RUSI,HORN SWITCH,,₱30.00,01/27/2023
193,T28,HONDA,BATTERY 5L,,₱600.00,01/28/2023
194,T28,HONDA,HEAD LIGHT SET,,₱50.00,01/28/2023
195,T28,HONDA,TAPE,,₱20.00,01/28/2023
196,T28,HONDA,ALLEN BOLT,,₱8.00,01/28/2023
197,T28,HONDA,STOP LIGHT SET,,₱10.00,01/28/2023
198,T28,HONDA,GUMA,,₱150.00,01/28/2023
199,T28,HONDA,BRAKE PAD,,₱150.00,01/28/2023
200,T28,HONDA,BOLT ROD,,₱100.00,01/28/2023
201,T28,HONDA,BOLT SHORT,,₱120.00,01/28/2023
202,T29,RUSI,BOLTS,6,₱120.00,01/29/2023
203,T29,RUSI,BLUE CORE,,₱390.00,01/29/2023
204,T29,RUSI,CRAR OIL ,,₱90.00,01/29/2023
205,T29,RUSI,ALLEN BOLT,,₱48.00,01/29/2023
206,T29,RUSI,BULB,,₱140.00,01/29/2023
207,T29,RUSI,TUTE OIL,,₱45.00,01/29/2023
208,T29,RUSI,GUMA,,₱130.00,01/29/2023
209,T30,HONDA,TUTE OIL,,₱45.00,01/29/2023
210,T30,HONDA,LUBRICANT OIL,,₱750.00,01/29/2023
211,T30,HONDA,HEAD LIGHT SET,,₱25.00,01/29/2023
212,T30,HONDA,3 WAY SWITCH,,₱150.00,01/29/2023
213,T30,HONDA,REPAIR KIT CARB,,₱150.00,01/29/2023
214,T30,HONDA,VS1,,₱170.00,01/29/2023
215,T30,HONDA,TAPE,,₱20.00,01/29/2023
216,T30,HONDA,ALLEN BOLT ,3,₱24.00,01/29/2023
217,T31,KASAWAKI,TUTE OIL,,₱45.00,01/30/2023
218,T31,KASAWAKI,BRAKE SHOE,,₱130.00,01/30/2023
219,T31,KASAWAKI,FORK OIL,,₱70.00,01/30/2023
220,T31,KASAWAKI,GEAR OIL,,₱100.00,01/30/2023
221,T31,KASAWAKI,KEY CHAIN,,₱60.00,01/30/2023
222,T31,KASAWAKI,MINI LENS,,₱650.00,01/30/2023
223,T31,KASAWAKI,3 WAY SWITCH,,₱150.00,01/30/2023
224,T32,HONDA,MAX SPEED,,₱200.00,01/31/2023
225,T32,HONDA,GUMA,,₱130.00,01/31/2023
226,T32,HONDA,BRAKE SHOE,,₱130.00,01/31/2023
227,T32,HONDA,SPROCKET SET,,₱200.00,01/31/2023
228,T32,HONDA,SPRING,,₱55.00,01/31/2023
229,T32,HONDA,SPROCKET BOLT,,₱8.00,01/31/2023
230,T32,HONDA,CHAIN ,,₱150.00,01/31/2023
231,T32,HONDA,CHAIN ADJUSTER,2,₱60.00,01/31/2023
232,T32,HONDA,GUMA,,₱140.00,01/31/2023
233,T33,KAWASAKI,CHAIN ADJUSTER,,₱60.00,01/31/2023
234,T33,KAWASAKI,TUTE OIL,,₱45.00,01/31/2023
235,T33,KAWASAKI,OIL,,₱120.00,01/31/2023
236,T34,RUSI,TUTE OIL,,₱45.00,02/01/2023
237,T34,RUSI,MAX SPEED,,₱200.00,02/01/2023
238,T34,RUSI,HANDLE GRIP,,₱150.00,02/01/2023
239,T34,RUSI,GUMA,,₱130.00,02/01/2023
240,T34,RUSI,GUMA,,₱280.00,02/01/2023
241,T34,RUSI,GUMA,,₱280.00,02/01/2023
242,T35,HONDA,TMX KEY IGNITION,,₱250.00,02/01/2023
243,T35,HONDA,GUMA,,₱130.00,02/01/2023
244,T35,HONDA,TAPE,,₱20.00,02/01/2023
245,T35,HONDA,HEAD LIGHT SET,,₱25.00,02/01/2023
246,T35,HONDA,WIRE,,₱5.00,02/01/2023
247,T36,HONDA,TAPE,,₱20.00,02/02/2023
248,T36,HONDA,TIRE,,₱650.00,02/02/2023
249,T36,HONDA,GUMA,,₱130.00,02/02/2023
250,T36,HONDA,HORN RELAY,,₱85.00,02/02/2023
251,T36,HONDA,BRAKE SHOE,,₱130.00,02/02/2023
252,T37,RUSI,CLUTCH CABLE,,₱130.00,02/03/2023
253,T37,RUSI,MAGIC MILK,,₱75.00,02/03/2023
254,T37,RUSI,CLIP,,₱48.00,02/03/2023
255,T37,RUSI,GAS HOSE,,₱50.00,02/03/2023
256,T37,RUSI,GUMA,,₱130.00,02/03/2023
257,T38,RUSI,MAGIC MILK,,₱75.00,02/04/2023
258,T38,RUSI,FRONT OIL,,₱160.00,02/04/2023
259,T38,RUSI,GUMA,,₱130.00,02/04/2023
260,T38,RUSI,CLUTCH CABLE,,₱280.00,02/04/2023
261,T39,HONDA,GUMA,,₱130.00,02/05/2023
262,T39,HONDA,RUBBER DUMPER,,₱120.00,02/05/2023
263,T39,HONDA,RS8,,₱385.00,02/05/2023
264,T39,HONDA,BULL RACE TIRE,,₱280.00,02/05/2023
265,T40,HONDA,TIRE,,₱650.00,02/06/2023
266,T40,HONDA,GUMA,,₱130.00,02/06/2023
267,T40,HONDA,BRAKE SHOE,,₱140.00,02/06/2023
268,T40,HONDA,GASKET,,₱80.00,02/06/2023
269,T40,HONDA,SPOKE AND NIPPLE,,₱280.00,02/06/2023
270,T40,HONDA,VALVE SIGNAL LIGHT,,₱20.00,02/06/2023
271,T40,HONDA,BACK LIGHT,,₱30.00,02/06/2023
272,T40,HONDA,BRAKE SWITCH,,₱80.00,02/06/2023
273,T41,KAWASAKI,PETRON,,₱50.00,02/07/2023
274,T41,KAWASAKI,NGK,,₱130.00,02/07/2023
275,T41,KAWASAKI,HEAD LIGHT SET,,₱300.00,02/07/2023
276,T41,KAWASAKI,THROTLE PLASTIC,,₱35.00,02/07/2023
277,T41,KAWASAKI,THROTLE HOUSING,,₱85.00,02/07/2023
278,T42,RUSI,GUMA,,₱150.00,02/07/2023
279,T42,RUSI,THROTLE CABLE,,₱130.00,02/07/2023
280,T42,RUSI,SIDE MIRROR,,₱280.00,02/07/2023
281,T42,RUSI,ESPARCO,,₱160.00,02/07/2023
282,T43,HONDA,GUMA,,₱150.00,02/07/2023
283,T44,HONDA,GUMA,,₱150.00,02/07/2023
284,T45,HONDA,GUMA,,₱150.00,02/07/2023
285,T46,HONDA,PIT,,₱220.00,02/07/2023
286,T46,HONDA,SPARKPLUG,,₱140.00,02/07/2023
287,T47,HONDA,BRAKE SHOE,,₱140.00,02/08/2023
288,T47,HONDA,SEAT,,₱900.00,02/08/2023
289,T47,HONDA,RS8,,₱380.00,02/08/2023
290,T48,RUSI,GUMA,,₱150.00,02/09/2023
291,T48,RUSI,TIRE,,₱300.00,02/09/2023
292,T48,RUSI,GUMA,,₱150.00,02/09/2023
293,T48,RUSI,GUMA,,₱150.00,02/09/2023
294,T48,RUSI,SPOKE AND NIPPLE,,₱280.00,02/09/2023
295,T48,RUSI,RUBBER BUSHING,,₱150.00,02/09/2023
296,T48,RUSI,KNOT STANDEE,4,₱200.00,02/09/2023
297,T48,RUSI,GUMA,,₱150.00,02/09/2023
298,T49,HONDA,HEAD LIGHT VALVE,,₱30.00,02/10/2023
299,T49,HONDA,BRAKE PAD,,₱130.00,02/10/2023
300,T49,HONDA,BRAKE LIGHT,,₱30.00,02/10/2023
301,T50,RUSI,GUMA,,₱150.00,02/10/2023
302,T50,RUSI,GUMA,,₱150.00,02/10/2023
303,T50,RUSI,ASBESTOS,,₱25.00,02/10/2023
304,T50,RUSI,GUMA,,₱150.00,02/10/2023
305,T51,HONDA,OIL SEALANT,,₱70.00,02/10/2023
306,T51,HONDA,FORK OIL,,₱80.00,02/10/2023
307,T51,HONDA,TIRE,,₱850.00,02/10/2023
308,T51,HONDA,THROTTLE CABLE,,₱130.00,02/10/2023
309,T51,HONDA,DOMINO HANDLE GRIP,,₱200.00,02/10/2023
310,T52,HONDA,THROTTLE CABLE,,₱130.00,02/10/2023
311,T52,HONDA,BEAT REPAIR KIT,,₱100.00,02/10/2023
312,T52,HONDA,TIRE SEALANT,,₱130.00,02/10/2023
313,T53,HONDA,CHAIN ADJUSTER,,₱70.00,02/11/2023
314,T53,HONDA,SPRING,,₱30.00,02/11/2023
315,T53,HONDA,CHAIN LOCK,,₱20.00,02/11/2023
316,T54,RUSI,GASKET,,₱80.00,02/11/2023
317,T54,RUSI,BRAKE PAD,,₱130.00,02/11/2023
318,T54,RUSI,SIGNAL LIGHT SWITCH,,₱30.00,02/11/2023
319,T54,RUSI,HIGH LOW SWITCH,,₱30.00,02/11/2023
320,T54,RUSI,TAPE,,₱20.00,02/11/2023
321,T55,RUSI,HEAD LIGHT VALVE,,₱60.00,02/11/2023
322,T56,RUSI,CLUTCH CABLE,,₱130.00,02/12/2023
323,T56,RUSI,ASBESTOS,,₱75.00,02/12/2023
324,T56,RUSI,SPARKPLUG,,₱120.00,02/12/2023
325,T56,RUSI,CHAIN LOCK,,₱20.00,02/12/2023
326,T57,HONDA,SEAT COVER DOMINO,,₱280.00,02/12/2023
327,T57,HONDA,GUMA,,₱150.00,02/12/2023
328,T57,HONDA,CDI,,₱350.00,02/12/2023
329,T57,HONDA,TAPE,,₱20.00,02/12/2023
330,T57,HONDA,TAIL BULB,,₱20.00,02/12/2023
331,T57,HONDA,FLAIRING KNOT,,₱10.00,02/12/2023
332,T57,HONDA,CABLE,,₱120.00,02/12/2023
333,T58,KAWASAKI,BRAKE LIGHT BULB,,₱60.00,02/13/2023
334,T58,KAWASAKI,BRAKE SHOE,,₱120.00,02/13/2023
335,T58,KAWASAKI,GEAR OIL,,₱100.00,02/13/2023
336,T59,RUSI,TUTE OIL,,₱45.00,02/13/2023
337,T59,RUSI,GUMA,,₱130.00,02/13/2023
338,T60,RUSI,TUTE OIL,,₱45.00,02/13/2023
339,T60,RUSI,GUMA,,₱130.00,02/13/2023
340,T60,RUSI,CARBURATOR REPAIR KIT,,₱150.00,02/13/2023
341,T60,RUSI,TAPE,,₱20.00,02/13/2023
342,T60,RUSI,IGNITION SWITCH,,₱250.00,02/13/2023
343,T60,RUSI,GUMA,,₱150.00,02/13/2023
344,T61,RUSI,STARTER RELAY,,₱250.00,02/14/2023
345,T62,RUSI,ROTATETOR,,₱130.00,02/14/2023
346,T63,RUSI,HEADLIGHT BULB,,₱130.00,02/14/2023
347,T64,RUSI,SPRING,,₱20.00,02/14/2023
348,T65,RUSI,GUMA,,₱150.00,02/14/2023
349,T66,HONDA,BATTERY 5L,,₱480.00,02/15/2023
350,T66,HONDA,FLASHER RELAY,,₱80.00,02/15/2023
351,T66,HONDA,SIGNAL LIGHT VALVE,,₱10.00,02/15/2023
352,T66,HONDA,STEP KNOT,,₱130.00,02/15/2023
353,T66,HONDA,GUMA,,₱150.00,02/15/2023
354,T66,HONDA,SIDE MIRROR,,₱180.00,02/15/2023
355,T66,HONDA,BRAKE PAD,,₱140.00,02/15/2023
356,T67,HONDA,GUMA,,₱150.00,02/16/2023
357,T67,HONDA,CALIPER,,₱350.00,02/16/2023
358,T67,HONDA,BRAKE MASTER,,₱80.00,02/16/2023
359,T67,HONDA,GUMA,,₱150.00,02/16/2023
360,T67,HONDA,HEADLIGHT BULB,,₱30.00,02/16/2023
361,T67,HONDA,RS8,,₱386.00,02/16/2023
362,T68,HONDA,DOMINO HANDLE GRIP,,₱200.00,02/17/2023
363,T68,HONDA,PETRON OIL,,₱220.00,02/17/2023
364,T68,HONDA,VALVE SIGNAL LIGHT,,₱60.00,02/17/2023
365,T68,HONDA,TAPE,,₱20.00,02/17/2023
366,T69,HONDA,TIRE,,₱900.00,02/17/2023
367,T70,HONDA,GUMA,,₱250.00,02/17/2023
368,T71,HONDA,STOP LIGHT VALVE,,₱20.00,02/17/2023
369,T71,HONDA,SIGNAL VALVE,2,₱20.00,02/17/2023
370,T71,HONDA,CHAIN LOCK,,₱325.00,02/17/2023
371,T72,HONDA,FORK OIL,,₱70.00,02/17/2023
372,T72,HONDA,BRAKE FLUID,,₱80.00,02/17/2023
373,T72,HONDA,GUMA,,₱130.00,02/17/2023
374,T73,HONDA,GUMA,,₱140.00,02/17/2023
375,T74,HONDA,BRAKE LIGHT BULB,,₱30.00,02/18/2023
376,T74,HONDA,SPRING,,₱30.00,02/18/2023
377,T74,HONDA,BRAKESHOE,,₱150.00,02/18/2023
378,T74,HONDA,BRAKEPAD,,₱130.00,02/18/2023
379,T75,HONDA,BRAKE PAD,,₱130.00,02/18/2023
380,T76,HONDA,SIDE MIRROR,,₱140.00,02/18/2023
381,T76,HONDA,SEAT COVER JRP,,₱140.00,02/18/2023
382,T76,HONDA,TUTE OIL,2,₱190.00,02/18/2023
383,T77,HONDA,GUMA,,₱150.00,02/19/2023
384,T78,HONDA,GUMA,,₱150.00,02/19/2023
385,T78,HONDA,BATTERY 3L,,₱450.00,02/19/2023
386,T78,HONDA,CLUTCH CABLE,,₱130.00,02/19/2023
387,T79,KAWASAKI,TAPE,,₱20.00,02/19/2023
388,T79,KAWASAKI,STOP LIGHT VALVE,,₱30.00,02/19/2023
389,T79,KAWASAKI,CLUTCH CABLE,,₱130.00,02/19/2023
390,T79,KAWASAKI,PETRON OIL,,₱220.00,02/19/2023
391,T79,KAWASAKI,HORN RELAY,,₱85.00,02/19/2023
392,T80,HONDA,GUMA,,₱150.00,02/20/2023
393,T80,HONDA,CLUTCH CABLE,,₱130.00,02/20/2023
394,T81,HONDA,PETRON OIL,,₱220.00,02/20/2023
395,T81,HONDA,BRAKE SWITCH,,₱85.00,02/20/2023
396,T81,HONDA,MASTER KIT,,₱120.00,02/20/2023
397,T81,HONDA,GUMA,,₱150.00,02/20/2023
398,T81,HONDA,TAPE,,₱20.00,02/20/2023
399,T81,HONDA,ALLOY BAR,,₱85.00,02/20/2023
400,T82,RUSI,BRAKE PAD,,₱120.00,02/21/2023
401,T83,RUSI,BRAKE PAD,,₱120.00,02/21/2023
402,T83,RUSI,SEAT COVER JRP,,₱300.00,02/21/2023
403,T83,RUSI,BEARING,,₱120.00,02/21/2023
404,T83,RUSI,PETRON OIL,,₱220.00,02/21/2023
405,T83,RUSI,RUBBER DUMPER,,₱130.00,02/21/2023
406,T83,RUSI,SILICON SPRAY,,₱200.00,02/21/2023
407,T83,RUSI,PEANUT BULB,,₱60.00,02/21/2023
408,T83,RUSI,BRAKE SHOE,,₱120.00,02/21/2023
409,T84,HONDA,ASBESTOS,,₱20.00,02/22/2023
410,T84,HONDA,BRAKE SHOE,,₱120.00,02/22/2023
411,T84,HONDA,OIL SEALANT,,₱100.00,02/22/2023
412,T84,HONDA,FORK OIL,,₱70.00,02/22/2023
413,T84,HONDA,SPARKPLUG,,₱120.00,02/22/2023
414,T84,HONDA,HEAD LIGHT BULB,2,₱50.00,02/22/2023
415,T84,HONDA,GUMA,,₱140.00,02/22/2023
416,T85,HONDA,CLUTCH CABLE,,₱120.00,02/23/2023
417,T85,HONDA,ALLEN BOLT,,₱30.00,02/23/2023
418,T85,HONDA,GUMA,,₱140.00,02/23/2023
419,T86,HONDA,BRAKE PAD,,₱141.00,02/23/2023
420,T86,HONDA,GUMA,,₱140.00,02/23/2023
421,T86,HONDA,YAMALUBE OIL,,₱350.00,02/23/2023
422,T86,HONDA,OIL FILTER,,₱150.00,02/23/2023
423,T86,HONDA,ASBESTOS,,₱20.00,02/23/2023
424,T87,HONDA,HANDLE GRIP,,₱150.00,02/23/2023
425,T87,HONDA,GRASA,,₱20.00,02/23/2023
426,T87,HONDA,BRAKE PAD,,₱120.00,02/23/2023
427,T88,RUSI,SPARKPLUG,,₱120.00,02/24/2023
